event_id,user_id,event_type,event_time,session_id,account_tier,platform
EVT-000001,USR-1042,signup,2024-03-01 09:12:34,SES-8821,starter,web
EVT-000002,USR-1042,onboarding_start,2024-03-01 09:13:01,SES-8821,starter,web
EVT-000003,USR-1042,feature_dashboard_view,2024-03-01 09:15:22,SES-8821,starter,web
EVT-000004,USR-1042,first_value_event,2024-03-01 09:18:45,SES-8821,starter,web
EVT-000005,USR-1043,signup,2024-03-01 10:02:11,SES-8822,pro,web
EVT-000006,USR-1043,onboarding_start,2024-03-01 10:03:00,SES-8822,pro,web
EVT-000007,USR-1043,feature_export_csv,2024-03-01 10:08:33,SES-8822,pro,web
EVT-000008,USR-1043,feature_dashboard_view,2024-03-01 10:12:01,SES-8822,pro,web
EVT-000009,USR-1043,first_value_event,2024-03-01 10:14:55,SES-8822,pro,web
EVT-000010,USR-1043,trial_active,2024-03-02 08:30:00,SES-8901,pro,web
EVT-000011,USR-1044,signup,2024-03-01 11:45:00,SES-8823,enterprise,web
EVT-000012,USR-1044,onboarding_start,2024-03-01 11:46:10,SES-8823,enterprise,web
EVT-000013,USR-1044,feature_dashboard_view,2024-03-01 11:50:22,SES-8823,enterprise,web
EVT-000014,USR-1044,feature_cohort_analysis,2024-03-01 11:55:00,SES-8823,enterprise,web
EVT-000015,USR-1044,first_value_event,2024-03-01 11:58:30,SES-8823,enterprise,web
EVT-000016,USR-1044,trial_active,2024-03-02 09:00:00,SES-8910,enterprise,web
EVT-000017,USR-1044,converted_to_paid,2024-03-10 14:22:00,SES-9100,enterprise,web
EVT-000018,USR-1045,signup,2024-03-02 08:00:00,SES-8830,starter,mobile
EVT-000019,USR-1045,onboarding_start,2024-03-02 08:01:30,SES-8830,starter,mobile
EVT-000020,USR-1046,signup,2024-03-02 09:30:00,SES-8831,pro,web
EVT-000021,USR-1046,onboarding_start,2024-03-02 09:31:00,SES-8831,pro,web
EVT-000022,USR-1046,feature_dashboard_view,2024-03-02 09:35:00,SES-8831,pro,web
EVT-000023,USR-1046,feature_export_csv,2024-03-02 09:40:00,SES-8831,pro,web
EVT-000024,USR-1046,first_value_event,2024-03-02 09:42:00,SES-8831,pro,web
EVT-000025,USR-1046,trial_active,2024-03-03 10:00:00,SES-8920,pro,web
EVT-000026,USR-1046,converted_to_paid,2024-03-14 11:00:00,SES-9200,pro,web
EVT-000027,USR-1047,signup,2024-03-03 14:00:00,SES-8840,starter,web
EVT-000028,USR-1047,onboarding_start,2024-03-03 14:01:00,SES-8840,starter,web
EVT-000029,USR-1047,feature_dashboard_view,2024-03-03 14:05:00,SES-8840,starter,web
EVT-000030,USR-1048,signup,2024-03-03 15:30:00,SES-8841,pro,web
EVT-000031,USR-1048,onboarding_start,2024-03-03 15:31:00,SES-8841,pro,web
EVT-000032,USR-1048,feature_ab_test_view,2024-03-03 15:38:00,SES-8841,pro,web
EVT-000033,USR-1048,feature_dashboard_view,2024-03-03 15:42:00,SES-8841,pro,web
EVT-000034,USR-1048,first_value_event,2024-03-03 15:45:00,SES-8841,pro,web
EVT-000035,USR-1048,trial_active,2024-03-04 09:00:00,SES-8930,pro,web
EVT-000036,USR-1049,signup,2024-03-04 10:00:00,SES-8850,enterprise,web
EVT-000037,USR-1049,onboarding_start,2024-03-04 10:01:00,SES-8850,enterprise,web
EVT-000038,USR-1049,feature_cohort_analysis,2024-03-04 10:10:00,SES-8850,enterprise,web
EVT-000039,USR-1049,feature_dashboard_view,2024-03-04 10:15:00,SES-8850,enterprise,web
EVT-000040,USR-1049,feature_export_csv,2024-03-04 10:20:00,SES-8850,enterprise,web
EVT-000041,USR-1049,first_value_event,2024-03-04 10:22:00,SES-8850,enterprise,web
EVT-000042,USR-1049,trial_active,2024-03-05 08:00:00,SES-8940,enterprise,web
EVT-000043,USR-1049,converted_to_paid,2024-03-12 16:00:00,SES-9300,enterprise,web
EVT-000044,USR-1050,signup,2024-03-05 11:00:00,SES-8860,starter,mobile
EVT-000045,USR-1050,onboarding_start,2024-03-05 11:02:00,SES-8860,starter,mobile
EVT-000046,USR-1050,feature_dashboard_view,2024-03-05 11:08:00,SES-8860,starter,mobile
EVT-000047,USR-1051,signup,2024-03-06 09:00:00,SES-8870,pro,web
EVT-000048,USR-1051,onboarding_start,2024-03-06 09:01:00,SES-8870,pro,web
EVT-000049,USR-1051,feature_dashboard_view,2024-03-06 09:06:00,SES-8870,pro,web
EVT-000050,USR-1051,feature_export_csv,2024-03-06 09:12:00,SES-8870,pro,web
EVT-000051,USR-1051,first_value_event,2024-03-06 09:15:00,SES-8870,pro,web
EVT-000052,USR-1051,trial_active,2024-03-07 10:00:00,SES-8950,pro,web
EVT-000053,USR-1051,converted_to_paid,2024-03-18 12:00:00,SES-9400,pro,web
EVT-000054,USR-1042,feature_dashboard_view,2024-03-07 10:30:00,SES-9001,starter,web
EVT-000055,USR-1042,feature_export_csv,2024-03-07 10:35:00,SES-9001,starter,web
EVT-000056,USR-1043,feature_cohort_analysis,2024-03-08 09:00:00,SES-9010,pro,web
EVT-000057,USR-1043,feature_dashboard_view,2024-03-08 09:10:00,SES-9010,pro,web
EVT-000058,USR-1044,feature_ab_test_view,2024-03-09 14:00:00,SES-9020,enterprise,web
EVT-000059,USR-1044,feature_dashboard_view,2024-03-09 14:10:00,SES-9020,enterprise,web
EVT-000060,USR-1044,feature_export_csv,2024-03-09 14:15:00,SES-9020,enterprise,web